clustername_1	name_1	clustername_2	name_2	file_ext	raw_distance	squared_similarity	jaccard_index	dss_index	adjacency_index	raw_dss_non_anchor	raw_dss_anchor	non_anchor_domains	anchor_domains	combined_group	shared_group	parent	class	order	family	genus	species
HN100_contigs.fa_antismash_contig00010.region001	HN100	USMM064_contigs.fa_antismash_contig00004.region001	USMM064	NA	0.128801763057709	0.758986353874207	0.899999976158142	0.870307445526123	0.899999976158142	0.129692539572716	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN007_contigs.fa_antismash_contig00010.region001	HN007	USHLN177_contigs.fa_antismash_contig00007.region001	USHLN177	NA	0.0343839004635811	0.932414472103119	1	0.964552700519562	1	0.0320447012782097	0.0443791933357716	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-83_contigs.fa_antismash_contig00010.region001	MMO-83	USMM062_contigs.fa_antismash_contig00010.region001	USMM062	NA	0.0331224612891674	0.934852182865143	1	0.965853154659271	1	0.0316143371164799	0.0407947674393654	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
M51_contigs.fa_antismash_contig00010.region001	M51	MMO-163_contigs.fa_antismash_contig00010.region002	MMO-163	NA	0.115302056074142	0.782690465450287	0.800000011920929	0.890066623687744	0.666666686534882	0.118450105190277	0.0881092995405197	41	4	NRPS.hserlactone - NRPS.hserlactone.arylpolyene	NA	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis
USHLN295_contigs.fa_antismash_contig00003.region001	USHLN295	USMM051_contigs.fa_antismash_contig00003.region001	USMM051	NA	0.246839582920074	0.567250609397888	0.571428596973419	0.760253727436066	0.5	0.251246213912964	0.199496418237686	42	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	Leclercia adecarboxylata
HN073_contigs.fa_antismash_contig00001.region001	HN073	MMO-83_contigs.fa_antismash_contig00011.region001	MMO-83	NA	0.128801763057709	0.758986353874207	0.899999976158142	0.870307445526123	0.899999976158142	0.129692539572716	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN037_contigs.fa_antismash_contig00002.region001	HN037	HN091_contigs.fa_antismash_contig00003.region001	HN091	NA	0.260116815567017	0.547427117824554	0.571428596973419	0.746565878391266	0.5	0.2684406042099	0.199660941958427	43	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	Leclercia adecarboxylata
MMO-38_contigs.fa_antismash_contig00004.region001	MMO-38	VD5_contigs.fa_antismash_contig00024.region001	VD5	NA	0.217748373746872	0.611917614936829	0.800000011920929	0.781702697277069	0.800000011920929	0.21829728782177	0	12	0	NI-siderophore - arylpolyene.NI-siderophore	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN122_contigs.fa_antismash_contig00004.region001	HN122	MMO-163_contigs.fa_antismash_contig00012.region001	MMO-163	NA	0.154676243662834	0.714572250843048	0.34375	0.86148065328598	0.3125	0.170564100146294	0.0984633639454842	10	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter soli
MMO-110_contigs.fa_antismash_contig00010.region001	MMO-110	MMO-38_contigs.fa_antismash_contig00011.region001	MMO-38	NA	0.00418103439733386	0.99165540933609	1	0.995689630508423	1	0	0.015625	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
AS124_contigs.fa_antismash_contig00011.region001	AS124	HN125_contigs.fa_antismash_contig00001.region002	HN125	NA	0.129830479621887	0.757194995880127	0.899999976158142	0.869246959686279	0.899999976158142	0.130753070116043	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN020_contigs.fa_antismash_contig00015.region001	HN020	HN071_contigs.fa_antismash_contig00007.region001	HN071	NA	0.136705875396729	0.745276749134064	0.34375	0.880006849765778	0.3125	0.182982787489891	0.0412561558187008	10	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
HN100_contigs.fa_antismash_contig00001.region001	HN100	USHLN177_contigs.fa_antismash_contig00001.region001	USHLN177	NA	0.282505095005035	0.514798939228058	0.692307710647583	0.720766246318817	0.571428596973419	0.279233753681183	0	24	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
USHLN210_contigs.fa_antismash_contig00007.region001	USHLN210	USHLN220_contigs.fa_antismash_contig00002.region001	USHLN220	NA	0.0059401923790574	0.988154888153076	1	0.993876099586487	1	0.00524838361889123	0.0126903550699353	30	1	betalactone - betalactone	betalactone	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Kocuria	Kocuria marina
HN166_contigs.fa_antismash_contig00001.region001	HN166	MMO-89_contigs.fa_antismash_contig00012.region001	MMO-89	NA	0.278779655694962	0.520158767700195	0.5	0.728062212467194	0.5	0.271937817335129	0	7	0	NI-siderophore - arylpolyene.NI-siderophore	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia liquefaciens
HN091_contigs.fa_antismash_contig00009.region001	HN091	HN173_contigs.fa_antismash_contig00007.region001	HN173	NA	0.28033310174942	0.51792049407959	0.56521737575531	0.726581394672394	0.461538463830948	0.360757231712341	0.196997284889221	14	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-45_contigs.fa_antismash_contig00001.region001	MMO-45	USMM054_contigs.fa_antismash_contig00002.region001	USMM054	NA	0.101508848369122	0.807286322116852	0.949999988079071	0.898812651634216	0.857142865657806	0.101187326014042	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN049_contigs.fa_antismash_contig00001.region001	HN049	HN110_contigs.fa_antismash_contig00001.region001	HN110	NA	1.73472347597681e-17	1	1	1	1	0	0	27	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN120_contigs.fa_antismash_contig00006.region001	HN120	HN124_contigs.fa_antismash_contig00006.region001	HN124	NA	1.73472347597681e-17	1	1	1	1	0	0	43	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN124_contigs.fa_antismash_contig00001.region002	HN124	USMM053_contigs.fa_antismash_contig00002.region001	USMM053	NA	0.0335876047611237	0.933952927589416	0.949999988079071	0.968834578990936	0.857142865657806	0.0311654228717089	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN087_contigs.fa_antismash_contig00003.region001	HN087	USMM055_contigs.fa_antismash_contig00003.region001	USMM055	NA	2.795066939143e-05	0.999944090843201	1	0.999971210956574	1	3.45781481883023e-05	0	60	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
BGC0001498	BGC0001498	HN176_contigs.fa_antismash_contig00011.region001	HN176	NA	0.288983970880508	0.505543768405914	0.777777791023254	0.708951234817505	0.777777791023254	0.291048765182495	0	9	0	NI-siderophore - siderophore	NA	NA	NA	NA	NA	NA	NA
AS230_contigs.fa_antismash_contig00003.region001	AS230	HN162_contigs.fa_antismash_contig00001.region001	HN162	NA	0.164086923003197	0.698750674724579	0.702127635478973	0.840420186519623	0.684210538864136	0.164308905601501	0.141845688223839	45	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
MMO-83_contigs.fa_antismash_contig00002.region001	MMO-83	MMO-88_contigs.fa_antismash_contig00005.region001	MMO-88	NA	1.73472347597681e-17	1	1	1	1	0	0	27	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN109_contigs.fa_antismash_contig00001.region001	HN109	USMM054_contigs.fa_antismash_contig00002.region001	USMM054	NA	0.101508848369122	0.807286322116852	0.949999988079071	0.898812651634216	0.857142865657806	0.101187326014042	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN067_contigs.fa_antismash_contig00007.region001	HN067	MMO-163_contigs.fa_antismash_contig00012.region001	MMO-163	NA	0.0254967957735062	0.94965648651123	1	0.974358975887299	0.96875	0.0322580635547638	0	31	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii
HN120_contigs.fa_antismash_contig00006.region001	HN120	HN151_contigs.fa_antismash_contig00010.region001	HN151	NA	0.275861203670502	0.52437698841095	0.56521737575531	0.731191635131836	0.461538463830948	0.359076350927353	0.189823910593987	14	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN110_contigs.fa_antismash_contig00001.region001	HN110	HN125_contigs.fa_antismash_contig00001.region001	HN125	NA	0.129809767007828	0.757231056690216	0.857142865657806	0.87233430147171	0.772727251052856	0.127665713429451	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
BGC0001498	BGC0001498	HN125_contigs.fa_antismash_contig00001.region002	HN125	NA	0.292169123888016	0.501024544239044	0.777777791023254	0.705667555332184	0.777777791023254	0.294332414865494	0	9	0	NI-siderophore - siderophore	NA	NA	NA	NA	NA	NA	NA
USMM058_contigs.fa_antismash_contig00004.region001	USMM058	VD12_contigs.fa_antismash_contig00108.region001	VD12	NA	0.147121369838715	0.727401971817017	0.888888895511627	0.851764917373657	0.888888895511627	0.148235097527504	0	11	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USHLN279_contigs.fa_antismash_contig00003.region001	USHLN279	USHLN280_contigs.fa_antismash_contig00004.region002	USHLN280	NA	1.73472347597681e-17	1	1	1	1	0	0	27	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea ananatis
HN122_contigs.fa_antismash_contig00002.region002	HN122	USMM068_contigs.fa_antismash_contig00001.region001	USMM068	NA	0.0403788313269615	0.920872807502747	0.967741906642914	0.960637867450714	0.90625	0.0431635491549969	0.00990098994225263	31	1	betalactone - betalactone	betalactone	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter soli
USMM063_contigs.fa_antismash_contig00003.region001	USMM063	USMM064_contigs.fa_antismash_contig00003.region001	USMM064	NA	1.73472347597681e-17	1	1	1	1	0	0	60	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN049_contigs.fa_antismash_contig00011.region001	HN049	MMO-89_contigs.fa_antismash_contig00012.region001	MMO-89	NA	1.73472347597681e-17	1	1	1	1	0	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN065_contigs.fa_antismash_contig00004.region001	HN065	HN125_contigs.fa_antismash_contig00002.region001	HN125	NA	0.111617915332317	0.789222717285156	0.936170220375061	0.888587117195129	0.854545474052429	0.115009099245071	0.0961290970444679	51	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
USHLN022_contigs.fa_antismash_contig00001.region001	USHLN022	USHLN183_contigs.fa_antismash_contig00003.region001	USHLN183	NA	0.0179767739027739	0.964369595050812	1	0.981467247009277	1	0.0206529553979635	0.0105820102617144	15	1	NI-siderophore - NI-siderophore	NI-siderophore	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A bombysepticus
AS209_contigs.fa_antismash_contig00019.region001	AS209	HN087_contigs.fa_antismash_contig00003.region001	HN087	NA	0.294282913208008	0.498036593198776	0.557692289352417	0.710062742233276	0.568965494632721	0.305506974458694	0.239335760474205	39	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella ornithinolytica
HN067_contigs.fa_antismash_contig00008.region002	HN067	HN093_contigs.fa_antismash_contig00007.region001	HN093	NA	1.73472347597681e-17	1	1	1	1	0	0	50	4	NRPS.hserlactone - NRPS.hserlactone	NRPS.hserlactone	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii
MMO-122_contigs.fa_antismash_contig00009.region001	MMO-122	USMM051_contigs.fa_antismash_contig00002.region001	USMM051	NA	1.73472347597681e-17	1	1	1	1	0	0	21	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
AS139_contigs.fa_antismash_contig00008.region002	AS139	HN022_contigs.fa_antismash_contig00002.region001	HN022	NA	0.203320398926735	0.634698390960693	0.5	0.808309853076935	0.380952388048172	0.191690161824226	0	12	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans
HN123_contigs.fa_antismash_contig00006.region001	HN123	HN127_contigs.fa_antismash_contig00004.region001	HN127	NA	1.73472347597681e-17	1	1	1	1	0	0	37	1	RiPP-like.NAPAA - RiPP-like.NAPAA	RiPP-like.NAPAA	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter modestus
USHLN262_contigs.fa_antismash_contig00001.region001	USHLN262	USMM058_contigs.fa_antismash_contig00004.region001	USMM058	NA	0.22893500328064	0.594541251659393	0.727272748947144	0.772419393062592	0.727272748947144	0.227580606937408	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei_A
HN178_contigs.fa_antismash_contig00018.region001	HN178	VD27_contigs.fa_antismash_contig00006.region001	VD27	NA	0.021135002374649	0.958176672458649	1	0.978211343288422	1	0.0217886622995138	0	17	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cedecea	Cedecea sp000277545
MMO-116_contigs.fa_antismash_contig00003.region001	MMO-116	USMM059_contigs.fa_antismash_contig00003.region001	USMM059	NA	2.795066939143e-05	0.999944090843201	1	0.999971210956574	1	3.45781481883023e-05	0	60	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-146_contigs.fa_antismash_contig00024.region001	MMO-146	MMO-68_contigs.fa_antismash_contig00001.region003	MMO-68	NA	0.114553965628147	0.784014701843262	0.923076927661896	0.884345650672913	0.9200000166893	0.124462090432644	0.060606062412262	25	1	betalactone - betalactone	betalactone	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium siyangense
HN091_contigs.fa_antismash_contig00001.region001	HN091	USHLN179_contigs.fa_antismash_contig00003.region001	USHLN179	NA	0.117365658283234	0.77904337644577	0.899999976158142	0.885658621788025	0.727272748947144	0.114341348409653	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USMM102_contigs.fa_antismash_contig00008.region001	USMM102	USMM104_contigs.fa_antismash_contig00007.region001	USMM104	NA	1.73472347597681e-17	1	1	1	1	0	0	18	0	NAGGN - NAGGN	NAGGN	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas aurantiaca
USMM051_contigs.fa_antismash_contig00004.region001	USMM051	USMM055_contigs.fa_antismash_contig00004.region001	USMM055	NA	1.73472347597681e-17	1	1	1	1	0	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-110_contigs.fa_antismash_contig00003.region001	MMO-110	USMM058_contigs.fa_antismash_contig00003.region001	USMM058	NA	2.795066939143e-05	0.999944090843201	1	0.999971210956574	1	3.45781481883023e-05	0	60	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-116_contigs.fa_antismash_contig00007.region001	MMO-116	MMO-83_contigs.fa_antismash_contig00002.region001	MMO-83	NA	0.143025442957878	0.734405398368835	0.949999988079071	0.856012046337128	0.857142865657806	0.143987938761711	0	21	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USHLN06_contigs.fa_antismash_contig00004.region001	USHLN06	USHLN262_contigs.fa_antismash_contig00002.region001	USHLN262	NA	0.285566359758377	0.510415434837341	0.527777791023254	0.721030652523041	0.487804889678955	0.300238162279129	0.239976450800896	22	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola
HN091_contigs.fa_antismash_contig00009.region001	HN091	MMO-120_contigs.fa_antismash_contig00011.region001	MMO-120	NA	0.0331224612891674	0.934852182865143	1	0.965853154659271	1	0.0316143371164799	0.0407947674393654	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USMM053_contigs.fa_antismash_contig00003.region001	USMM053	USMM058_contigs.fa_antismash_contig00003.region001	USMM058	NA	1.73472347597681e-17	1	1	1	1	0	0	60	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN178_contigs.fa_antismash_contig00018.region001	HN178	VD21_contigs.fa_antismash_contig00025.region001	VD21	NA	0.0364785008132458	0.928373694419861	1	0.962393283843994	1	0.0376067012548447	0	9	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cedecea	Cedecea sp000277545
USMM058_contigs.fa_antismash_contig00004.region001	USMM058	USMM061_contigs.fa_antismash_contig00004.region001	USMM061	NA	1.73472347597681e-17	1	1	1	1	0	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USHLN184_contigs.fa_antismash_contig00001.region001	USHLN184	USMM058_contigs.fa_antismash_contig00002.region001	USMM058	NA	0.053367517888546	0.896113038063049	0.949999988079071	0.948442935943604	0.857142865657806	0.0515570901334286	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
HN069_contigs.fa_antismash_contig00009.region001	HN069	MMO-116_contigs.fa_antismash_contig00007.region001	MMO-116	NA	1.73472347597681e-17	1	1	1	1	0	0	21	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN049_contigs.fa_antismash_contig00004.region001	HN049	HN124_contigs.fa_antismash_contig00002.region002	HN124	NA	0.111617915332317	0.789222717285156	0.936170220375061	0.888587117195129	0.854545474052429	0.115009099245071	0.0961290970444679	51	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
USHLN06_contigs.fa_antismash_contig00004.region001	USHLN06	USHLN270_contigs.fa_antismash_contig00019.region001	USHLN270	NA	0.233947858214378	0.5868359208107	1	0.759798467159271	0.952380955219269	0.24079318344593	0.239215418696404	20	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola
USMM075_contigs.fa_antismash_contig00001.region001	USMM075	USMM087_contigs.fa_antismash_contig00004.region001	USMM087	NA	0.123096644878387	0.76895946264267	1	0.873096227645874	1	0.113392733037472	0.177570089697838	15	1	NI-siderophore - NI-siderophore	NI-siderophore	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus_AG
USHLN291_contigs.fa_antismash_contig00020.region001	USHLN291	USMM051_contigs.fa_antismash_contig00003.region001	USMM051	NA	0.166309714317322	0.695039510726929	0.861111104488373	0.836253762245178	0.695652186870575	0.180142283439636	0.109092801809311	40	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei_A
USHLN33_contigs.fa_antismash_contig00001.region002	USHLN33	USMM130_contigs.fa_antismash_contig00006.region002	USMM130	NA	0.012118574231863	0.97590970993042	0.875	0.991372585296631	0.875	0.00862739607691764	0	22	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	Erwinia aphidicola
