Clustername 1,Clustername 2,Raw distance,Squared similarity,Jaccard index,DSS index,Adjacency index,raw DSS non-anchor,raw DSS anchor,Non-anchor domains,Anchor domains,Combined group,Shared group,sampleID,junk,contigregion,junk2,junk3,fileext,cluster1,junk_1,contigregion_1,cluster2
USHLN193_contigs.fa_antismashcontig00002.region001_USHLN193_contigs.fa_antismash,USMM087_contigs.fa_antismashcontig00006.region001_USMM087_contigs.fa_antismash,0.0019745805766433,0.996054708957672,1.0,0.9980254173278807,1.0,0.0013479792978614,0.0034157631453126,46,5,NRPS - NRPS,NRPS,USHLN193,contigs.fa,antismashcontig00002.region001,USMM087,contigs.fa,antismash,USHLN193,contigs.fa,antismashcontig00006.region001,USMM087
MMO-24_contigs.fa_antismashcontig00002.region001_MMO-24_contigs.fa_antismash,MMO-28_contigs.fa_antismashcontig00042.region001_MMO-28_contigs.fa_antismash,0.1853917241096496,0.6635866165161133,0.8292682766914368,0.8146082758903503,0.6875,0.1307584941387176,0.2673415839672088,42,7,NRPS - NRPS,NRPS,MMO-24,contigs.fa,antismashcontig00002.region001,MMO-28,contigs.fa,antismash,MMO-24,contigs.fa,antismashcontig00042.region001,MMO-28
MMO-94_contigs.fa_antismashcontig00004.region001_MMO-94_contigs.fa_antismash,VD12_contigs.fa_antismashcontig00077.region001_VD12_contigs.fa_antismash,0.1538604795932769,0.7159520983695984,0.8181818127632141,0.8461394906044006,0.739130437374115,0.1770925819873809,0.0986842513084411,19,2,NRPS - NRPS,NRPS,MMO-94,contigs.fa,antismashcontig00004.region001,VD12,contigs.fa,antismash,MMO-94,contigs.fa,antismashcontig00077.region001,VD12
USMM128_contigs.fa_antismashcontig00007.region001_USMM128_contigs.fa_antismash,USMM130_contigs.fa_antismashcontig00001.region002_USMM130_contigs.fa_antismash,0.0055926409550011,0.9888460040092468,1.0,0.99440735578537,1.0,0.0020326497033238,0.0140476208180189,57,6,NRPS - NRPS,NRPS,USMM128,contigs.fa,antismashcontig00007.region001,USMM130,contigs.fa,antismash,USMM128,contigs.fa,antismashcontig00001.region002,USMM130
AS170_contigs.fa_antismashcontig00003.region001_AS170_contigs.fa_antismash,HN117_contigs.fa_antismashcontig00008.region001_HN117_contigs.fa_antismash,0.2694196403026581,0.533747673034668,0.8703703880310059,0.7305803298950195,0.7457627058029175,0.2167279571294784,0.3510917723178863,62,10,NRPS - NRPS,NRPS,AS170,contigs.fa,antismashcontig00003.region001,HN117,contigs.fa,antismash,AS170,contigs.fa,antismashcontig00008.region001,HN117
MMO-122_contigs.fa_antismashcontig00003.region001_MMO-122_contigs.fa_antismash,USMM054_contigs.fa_antismashcontig00003.region001_USMM054_contigs.fa_antismash,3.516421566018835e-05,0.999929666519165,1.0,0.9999648332595824,1.0,4.414231443661265e-05,0.0,47,3,NRPS - NRPS,NRPS,MMO-122,contigs.fa,antismashcontig00003.region001,USMM054,contigs.fa,antismash,MMO-122,contigs.fa,antismashcontig00003.region001,USMM054
M50_contigs.fa_antismashcontig00103.region001_M50_contigs.fa_antismash,VD5_contigs.fa_antismashcontig00003.region001_VD5_contigs.fa_antismash,0.207091137766838,0.6287044882774353,0.8666666746139526,0.7929088473320007,0.75,0.2283116579055786,0.1726077795028686,13,2,NRPS - NRPS,NRPS,M50,contigs.fa,antismashcontig00103.region001,VD5,contigs.fa,antismash,M50,contigs.fa,antismashcontig00003.region001,VD5
AS139_contigs.fa_antismashcontig00008.region001_AS139_contigs.fa_antismash,USHLN159_contigs.fa_antismashcontig00003.region001_USHLN159_contigs.fa_antismash,0.1989313811063766,0.6417109370231628,0.8253968358039856,0.8010686039924622,0.7571428418159485,0.191521942615509,0.2365960329771042,61,3,NRPS - NRPS,NRPS,AS139,contigs.fa,antismashcontig00008.region001,USHLN159,contigs.fa,antismash,AS139,contigs.fa,antismashcontig00003.region001,USHLN159
AS124_contigs.fa_antismashcontig00004.region001_AS124_contigs.fa_antismash,MMO-38_contigs.fa_antismashcontig00003.region001_MMO-38_contigs.fa_antismash,0.0993561670184135,0.8111593127250671,0.9555555582046508,0.9006438255310059,0.9215686321258544,0.0984116122126579,0.1032131090760231,49,3,NRPS - NRPS,NRPS,AS124,contigs.fa,antismashcontig00004.region001,MMO-38,contigs.fa,antismash,AS124,contigs.fa,antismashcontig00003.region001,MMO-38
HN120_contigs.fa_antismashcontig00002.region001_HN120_contigs.fa_antismash,MMO-88_contigs.fa_antismashcontig00004.region001_MMO-88_contigs.fa_antismash,0.0986723527312278,0.8123915195465088,0.93478262424469,0.901327669620514,0.8518518805503845,0.0992951840162277,0.0961290970444679,49,3,NRPS - NRPS,NRPS,HN120,contigs.fa,antismashcontig00002.region001,MMO-88,contigs.fa,antismash,HN120,contigs.fa,antismashcontig00004.region001,MMO-88
MMO-119_contigs.fa_antismashcontig00003.region001_MMO-119_contigs.fa_antismash,MMO-88_contigs.fa_antismashcontig00004.region001_MMO-88_contigs.fa_antismash,0.0688258707523346,0.8670852780342102,0.9555555582046508,0.9311741590499878,0.9215686321258544,0.0600461475551128,0.1032131090760231,47,3,NRPS - NRPS,NRPS,MMO-119,contigs.fa,antismashcontig00003.region001,MMO-88,contigs.fa,antismash,MMO-119,contigs.fa,antismashcontig00004.region001,MMO-88
AS091_contigs.fa_antismashcontig00002.region002_AS091_contigs.fa_antismash,AS235_contigs.fa_antismashcontig00014.region001_AS235_contigs.fa_antismash,0.2207106202840805,0.6072919368743896,0.7419354915618896,0.7792893648147583,0.6857143044471741,0.2050284296274185,0.2520750164985657,24,3,NRPS - NRPS,NRPS,AS091,contigs.fa,antismashcontig00002.region002,AS235,contigs.fa,antismash,AS091,contigs.fa,antismashcontig00014.region001,AS235
MMO-45_contigs.fa_antismashcontig00004.region001_MMO-45_contigs.fa_antismash,MMO-90_contigs.fa_antismashcontig00004.region001_MMO-90_contigs.fa_antismash,0.0,1.0,1.0,1.0,1.0,0.0,0.0,49,3,NRPS - NRPS,NRPS,MMO-45,contigs.fa,antismashcontig00004.region001,MMO-90,contigs.fa,antismash,MMO-45,contigs.fa,antismashcontig00004.region001,MMO-90
AS085_contigs.fa_antismashcontig00008.region001_AS085_contigs.fa_antismash,USHLN32_contigs.fa_antismashcontig00003.region001_USHLN32_contigs.fa_antismash,0.1931767910718917,0.6509636640548706,0.8571428656578064,0.806823194026947,0.8115941882133484,0.1865223497152328,0.2281126379966735,63,3,NRPS - NRPS,NRPS,AS085,contigs.fa,antismashcontig00008.region001,USHLN32,contigs.fa,antismash,AS085,contigs.fa,antismashcontig00003.region001,USHLN32
MMO-120_contigs.fa_antismashcontig00004.region001_MMO-120_contigs.fa_antismash,USMM061_contigs.fa_antismashcontig00003.region001_USMM061_contigs.fa_antismash,0.0993901789188385,0.811098039150238,0.9555555582046508,0.9006098508834839,0.9215686321258544,0.0984539538621902,0.1032131090760231,49,3,NRPS - NRPS,NRPS,MMO-120,contigs.fa,antismashcontig00004.region001,USMM061,contigs.fa,antismash,MMO-120,contigs.fa,antismashcontig00003.region001,USMM061
USHLN195_contigs.fa_antismashcontig00001.region001_USHLN195_contigs.fa_antismash,USMM075_contigs.fa_antismashcontig00013.region002_USMM075_contigs.fa_antismash,0.1062522307038307,0.7987850904464722,0.7941176295280457,0.8937477469444275,0.8055555820465088,0.1084057092666626,0.1028066650032997,32,5,NRPS - NRPS,NRPS,USHLN195,contigs.fa,antismashcontig00001.region001,USMM075,contigs.fa,antismash,USHLN195,contigs.fa,antismashcontig00013.region002,USMM075
HN162_contigs.fa_antismashcontig00001.region001_HN162_contigs.fa_antismash,USHLN270_contigs.fa_antismashcontig00019.region001_USHLN270_contigs.fa_antismash,0.2630973160266876,0.543025553226471,0.8888888955116272,0.7369027137756348,0.6756756901741028,0.2736571729183197,0.2366976886987686,30,3,NRPS - NRPS,NRPS,HN162,contigs.fa,antismashcontig00001.region001,USHLN270,contigs.fa,antismash,HN162,contigs.fa,antismashcontig00019.region001,USHLN270
HN068_contigs.fa_antismashcontig00004.region001_HN068_contigs.fa_antismash,HN126_contigs.fa_antismashcontig00005.region001_HN126_contigs.fa_antismash,0.0,1.0,1.0,1.0,1.0,0.0,0.0,37,1,NAPAA.RiPP-like - NAPAA.RiPP-like,NAPAA.RiPP-like,HN068,contigs.fa,antismashcontig00004.region001,HN126,contigs.fa,antismash,HN068,contigs.fa,antismashcontig00005.region001,HN126
USHLN184_contigs.fa_antismashcontig00001.region003_USHLN184_contigs.fa_antismash,USMM053_contigs.fa_antismashcontig00003.region001_USMM053_contigs.fa_antismash,0.0794625282287597,0.8473892211914062,0.9333333373069764,0.9205374717712402,0.8301886916160583,0.0811631008982658,0.072660245001316,48,3,NRPS - NRPS,NRPS,USHLN184,contigs.fa,antismashcontig00001.region003,USMM053,contigs.fa,antismash,USHLN184,contigs.fa,antismashcontig00003.region001,USMM053
USHLN06_contigs.fa_antismashcontig00004.region001_USHLN06_contigs.fa_antismash,USMM055_contigs.fa_antismashcontig00003.region001_USMM055_contigs.fa_antismash,0.2259844839572906,0.5990999937057495,0.5555555820465088,0.7740155458450317,0.5789473652839661,0.2197048962116241,0.2369737476110458,21,3,NRPS - NRPS,NRPS,USHLN06,contigs.fa,antismashcontig00004.region001,USMM055,contigs.fa,antismash,USHLN06,contigs.fa,antismashcontig00003.region001,USMM055
USHLN261_contigs.fa_antismashcontig00010.region001_USHLN261_contigs.fa_antismash,USMM134_contigs.fa_antismashcontig00003.region001_USMM134_contigs.fa_antismash,0.0059171598404645,0.9882006645202636,0.9803921580314636,0.9940828680992126,0.9516128897666932,0.0136986300349235,0.0,73,24,NRPS - NRPS,NRPS,USHLN261,contigs.fa,antismashcontig00010.region001,USMM134,contigs.fa,antismash,USHLN261,contigs.fa,antismashcontig00003.region001,USMM134
HN039_contigs.fa_antismashcontig00003.region001_HN039_contigs.fa_antismash,HN117_contigs.fa_antismashcontig00022.region001_HN117_contigs.fa_antismash,0.1527699530124664,0.7177987694740295,1.0,0.847230076789856,0.970588207244873,0.1413868367671966,0.1632044613361358,33,9,NRPS - NRPS,NRPS,HN039,contigs.fa,antismashcontig00003.region001,HN117,contigs.fa,antismash,HN039,contigs.fa,antismashcontig00022.region001,HN117
USHLN022_contigs.fa_antismashcontig00001.region002_USHLN022_contigs.fa_antismash,USMM088_contigs.fa_antismashcontig00002.region002_USMM088_contigs.fa_antismash,0.0704090744256973,0.8641393184661865,0.8913043737411499,0.929590940475464,0.8571428656578064,0.0843819230794906,0.0375728830695152,47,5,NRPS - NRPS,NRPS,USHLN022,contigs.fa,antismashcontig00001.region002,USMM088,contigs.fa,antismash,USHLN022,contigs.fa,antismashcontig00002.region002,USMM088
MMO-45_contigs.fa_antismashcontig00004.region001_MMO-45_contigs.fa_antismash,USMM062_contigs.fa_antismashcontig00005.region001_USMM062_contigs.fa_antismash,0.0993901789188385,0.811098039150238,0.9555555582046508,0.9006098508834839,0.9215686321258544,0.0984539538621902,0.1032131090760231,49,3,NRPS - NRPS,NRPS,MMO-45,contigs.fa,antismashcontig00004.region001,USMM062,contigs.fa,antismash,MMO-45,contigs.fa,antismashcontig00005.region001,USMM062
USHLN199_contigs.fa_antismashcontig00003.region001_USHLN199_contigs.fa_antismash,USHLN256_contigs.fa_antismashcontig00005.region001_USHLN256_contigs.fa_antismash,0.0820087119936943,0.8427079916000366,1.0,0.9179912805557252,1.0,0.0679182484745979,0.1548094451427459,62,3,NRPS - NRPS,NRPS,USHLN199,contigs.fa,antismashcontig00003.region001,USHLN256,contigs.fa,antismash,USHLN199,contigs.fa,antismashcontig00005.region001,USHLN256
MMO-37_contigs.fa_antismashcontig00003.region001_MMO-37_contigs.fa_antismash,VD12_contigs.fa_antismashcontig00077.region001_VD12_contigs.fa_antismash,0.1719249188899994,0.6857083439826965,0.8181818127632141,0.828075110912323,0.739130437374115,0.1955154538154602,0.1158973798155784,19,2,NRPS - NRPS,NRPS,MMO-37,contigs.fa,antismashcontig00003.region001,VD12,contigs.fa,antismash,MMO-37,contigs.fa,antismashcontig00077.region001,VD12
AS222_contigs.fa_antismashcontig00001.region002_AS222_contigs.fa_antismash,MMO-102_contigs.fa_antismashcontig00003.region002_MMO-102_contigs.fa_antismash,0.1603128314018249,0.7050745487213135,0.8085106611251831,0.839687168598175,0.6271186470985413,0.2093108594417572,0.058233592659235,50,6,NRPS - NRPS,NRPS,AS222,contigs.fa,antismashcontig00001.region002,MMO-102,contigs.fa,antismash,AS222,contigs.fa,antismashcontig00003.region002,MMO-102
MMO-88_contigs.fa_antismashcontig00004.region001_MMO-88_contigs.fa_antismash,USMM055_contigs.fa_antismashcontig00003.region001_USMM055_contigs.fa_antismash,0.0993901789188385,0.811098039150238,0.9555555582046508,0.9006098508834839,0.9215686321258544,0.0984539538621902,0.1032131090760231,49,3,NRPS - NRPS,NRPS,MMO-88,contigs.fa,antismashcontig00004.region001,USMM055,contigs.fa,antismash,MMO-88,contigs.fa,antismashcontig00003.region001,USMM055
HN007_contigs.fa_antismashcontig00004.region001_HN007_contigs.fa_antismash,MMO-83_contigs.fa_antismashcontig00004.region001_MMO-83_contigs.fa_antismash,0.0,1.0,1.0,1.0,1.0,0.0,0.0,27,2,NRPS - NRPS,NRPS,HN007,contigs.fa,antismashcontig00004.region001,MMO-83,contigs.fa,antismash,HN007,contigs.fa,antismashcontig00004.region001,MMO-83
HN034_contigs.fa_antismashcontig00001.region002_HN034_contigs.fa_antismash,M51_contigs.fa_antismashcontig00007.region001_M51_contigs.fa_antismash,0.1057771071791648,0.799634575843811,0.901960790157318,0.8942229151725769,0.8474576473236084,0.0987152606248855,0.1241379082202911,52,5,redox-cofactor.NRPS - redox-cofactor.NRPS,redox-cofactor.NRPS,HN034,contigs.fa,antismashcontig00001.region002,M51,contigs.fa,antismash,HN034,contigs.fa,antismashcontig00007.region001,M51
MMO-89_contigs.fa_antismashcontig00004.region001_MMO-89_contigs.fa_antismash,USHLN184_contigs.fa_antismashcontig00001.region003_USHLN184_contigs.fa_antismash,0.0984639003872871,0.8127673268318176,0.93478262424469,0.9015361070632936,0.8679245114326477,0.0997757315635681,0.0931072756648063,49,3,NRPS - NRPS,NRPS,MMO-89,contigs.fa,antismashcontig00004.region001,USHLN184,contigs.fa,antismash,MMO-89,contigs.fa,antismashcontig00001.region003,USHLN184
AS170_contigs.fa_antismashcontig00002.region001_AS170_contigs.fa_antismash,HN039_contigs.fa_antismashcontig00001.region003_HN039_contigs.fa_antismash,0.096179150044918,0.816892147064209,0.8636363744735718,0.9038208723068236,0.75,0.1223913952708244,0.0208189468830823,46,4,NRPS - NRPS,NRPS,AS170,contigs.fa,antismashcontig00002.region001,HN039,contigs.fa,antismash,AS170,contigs.fa,antismashcontig00001.region003,HN039
USHLN270_contigs.fa_antismashcontig00019.region001_USHLN270_contigs.fa_antismash,VD12_contigs.fa_antismashcontig00077.region001_VD12_contigs.fa_antismash,0.1690914332866668,0.6904090642929077,0.9230769276618958,0.8309085369110107,0.8571428656578064,0.2083505541086197,0.1102027669548988,12,2,NRPS - NRPS,NRPS,USHLN270,contigs.fa,antismashcontig00019.region001,VD12,contigs.fa,antismash,USHLN270,contigs.fa,antismashcontig00077.region001,VD12
HN065_contigs.fa_antismashcontig00004.region001_HN065_contigs.fa_antismash,USHLN167_contigs.fa_antismashcontig00004.region001_USHLN167_contigs.fa_antismash,0.2688691616058349,0.5345523357391357,0.6346153616905212,0.731130838394165,0.5230769515037537,0.3117692470550537,0.0865438282489776,51,3,NRPS - NRPS,NRPS,HN065,contigs.fa,antismashcontig00004.region001,USHLN167,contigs.fa,antismash,HN065,contigs.fa,antismashcontig00004.region001,USHLN167
HN099_contigs.fa_antismashcontig00009.region001_HN099_contigs.fa_antismash,MMO-163_contigs.fa_antismashcontig00010.region002_MMO-163_contigs.fa_antismash,0.0,1.0,1.0,1.0,1.0,0.0,0.0,50,4,NRPS.hserlactone - NRPS.hserlactone,NRPS.hserlactone,HN099,contigs.fa,antismashcontig00009.region001,MMO-163,contigs.fa,antismash,HN099,contigs.fa,antismashcontig00010.region002,MMO-163
MMO-116_contigs.fa_antismashcontig00003.region001_MMO-116_contigs.fa_antismash,USMM061_contigs.fa_antismashcontig00003.region001_USMM061_contigs.fa_antismash,3.516421566018835e-05,0.999929666519165,1.0,0.9999648332595824,1.0,4.414231443661265e-05,0.0,47,3,NRPS - NRPS,NRPS,MMO-116,contigs.fa,antismashcontig00003.region001,USMM061,contigs.fa,antismash,MMO-116,contigs.fa,antismashcontig00003.region001,USMM061
USHLN152_contigs.fa_antismashcontig00057.region001_USHLN152_contigs.fa_antismash,USMM088_contigs.fa_antismashcontig00054.region001_USMM088_contigs.fa_antismash,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,2,NRPS - NRPS,NRPS,USHLN152,contigs.fa,antismashcontig00057.region001,USMM088,contigs.fa,antismash,USHLN152,contigs.fa,antismashcontig00054.region001,USMM088
HN059_contigs.fa_antismashcontig00008.region001_HN059_contigs.fa_antismash,MMO-163_contigs.fa_antismashcontig00010.region002_MMO-163_contigs.fa_antismash,0.1864769905805587,0.6618196964263916,0.7358490824699402,0.81352299451828,0.60317462682724,0.2174577116966247,0.0915985405445098,49,4,NRPS.hserlactone - NRPS.hserlactone,NRPS.hserlactone,HN059,contigs.fa,antismashcontig00008.region001,MMO-163,contigs.fa,antismash,HN059,contigs.fa,antismashcontig00010.region002,MMO-163
HN100_contigs.fa_antismashcontig00004.region001_HN100_contigs.fa_antismash,USMM058_contigs.fa_antismashcontig00003.region001_USMM058_contigs.fa_antismash,0.0993901789188385,0.811098039150238,0.9555555582046508,0.9006098508834839,0.9215686321258544,0.0984539538621902,0.1032131090760231,49,3,NRPS - NRPS,NRPS,HN100,contigs.fa,antismashcontig00004.region001,USMM058,contigs.fa,antismash,HN100,contigs.fa,antismashcontig00003.region001,USMM058
USHLN152_contigs.fa_antismashcontig00001.region002_USHLN152_contigs.fa_antismash,USMM091_contigs.fa_antismashcontig00005.region001_USMM091_contigs.fa_antismash,0.1886091530323028,0.6583551168441772,0.782608687877655,0.8113908171653748,0.5535714030265808,0.2075663954019546,0.1478511095046997,43,5,NRPS - NRPS,NRPS,USHLN152,contigs.fa,antismashcontig00001.region002,USMM091,contigs.fa,antismash,USHLN152,contigs.fa,antismashcontig00005.region001,USMM091
USMM088_contigs.fa_antismashcontig00016.region001_USMM088_contigs.fa_antismash,USMM091_contigs.fa_antismashcontig00013.region001_USMM091_contigs.fa_antismash,0.1438998132944107,0.7329075336456299,0.8780487775802612,0.8561002016067505,0.7555555701255798,0.1546834111213684,0.0387596897780895,39,1,NRPS-like - NRPS-like,NRPS-like,USMM088,contigs.fa,antismashcontig00016.region001,USMM091,contigs.fa,antismash,USMM088,contigs.fa,antismashcontig00013.region001,USMM091
USHLN178_contigs.fa_antismashcontig00003.region001_USHLN178_contigs.fa_antismash,USHLN191_contigs.fa_antismashcontig00004.region001_USHLN191_contigs.fa_antismash,0.0,1.0,1.0,1.0,1.0,0.0,0.0,50,3,NRPS - NRPS,NRPS,USHLN178,contigs.fa,antismashcontig00003.region001,USHLN191,contigs.fa,antismash,USHLN178,contigs.fa,antismashcontig00004.region001,USHLN191
AS230_contigs.fa_antismashcontig00003.region001_AS230_contigs.fa_antismash,USHLN291_contigs.fa_antismashcontig00020.region001_USHLN291_contigs.fa_antismash,0.2932874262332916,0.4994426369667053,0.807692289352417,0.706712543964386,0.6363636255264282,0.3179625272750854,0.2377685010433197,27,3,NRPS - NRPS,NRPS,AS230,contigs.fa,antismashcontig00003.region001,USHLN291,contigs.fa,antismash,AS230,contigs.fa,antismashcontig00020.region001,USHLN291
MMO-119_contigs.fa_antismashcontig00003.region001_MMO-119_contigs.fa_antismash,USHLN271_contigs.fa_antismashcontig00007.region001_USHLN271_contigs.fa_antismash,0.1427846252918243,0.7348182201385498,0.7586206793785095,0.8572153449058533,0.6315789222717285,0.1564583629369735,0.1097397655248642,29,3,NRPS - NRPS,NRPS,MMO-119,contigs.fa,antismashcontig00003.region001,USHLN271,contigs.fa,antismash,MMO-119,contigs.fa,antismashcontig00007.region001,USHLN271
USHLN192_contigs.fa_antismashcontig00001.region005_USHLN192_contigs.fa_antismash,USMM087_contigs.fa_antismashcontig00008.region001_USMM087_contigs.fa_antismash,0.2075783461332321,0.627932071685791,0.3928571343421936,0.7924216389656067,0.3442623019218445,0.4166176617145538,0.0312014035880565,54,16,NRPS - NRPS,NRPS,USHLN192,contigs.fa,antismashcontig00001.region005,USMM087,contigs.fa,antismash,USHLN192,contigs.fa,antismashcontig00008.region001,USMM087
AS214_contigs.fa_antismashcontig00009.region001_AS214_contigs.fa_antismash,USMM085_contigs.fa_antismashcontig00014.region001_USMM085_contigs.fa_antismash,0.0532437860965728,0.8963473439216614,0.6296296119689941,0.9467561841011048,0.6470588445663452,0.0487138889729976,0.0562165342271328,21,8,NRPS - NRPS,NRPS,AS214,contigs.fa,antismashcontig00009.region001,USMM085,contigs.fa,antismash,AS214,contigs.fa,antismashcontig00014.region001,USMM085
