BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000262	BGC0000262	Streptomyces sp. PGA64 silent angucycline-type gene cluster, partial sequence	oligosaccharide.butyrolactone.T2PKS	Others	Streptomyces sp. PGA64	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000267	BGC0000267	Micromonospora sp. Tu 6368 hypothetical protein gene, partial cds; saquayamycin Z/galtamycin B gene cluster, complete sequence; and hypothetical protein genes, complete cds	oligosaccharide.T2PKS	Others	Micromonospora sp. Tu 6368	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,unclassified Micromonospora
BGC0000268	BGC0000268	Streptomyces sp. SCC 2136 deoxysugar biosynthetic gene cluster	oligosaccharide.T2PKS	Others	Streptomyces sp. SCC 2136	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000277	BGC0000277	Streptomyces fradiae strain T#2717 urdamycin biosynthetic gene cluster, partial sequence	oligosaccharide	Saccharides	Streptomyces fradiae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000283	BGC0000283	Actinomyces sp. Lu 9419 putative nitrite reductase, putative chalcone synthase, putative ATPases, NocH-like protein, NikS-like protein, and TruD-like protein genes, complete cds; cetoniacytone A biosynthetic gene cluster, complete sequence; and hypothetical protein, putative UnbU protein, putative ACP, putative 3-oxoacyl-ACP synthase, putative 3-oxoacyl-ACP reductase, putative 3-oxoacyl-ACP synthase, and hypothetical protein genes, complete cds	amglyccycl.nucleoside.ladderane	Others	Actinomyces sp. Lu 9419	Bacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
BGC0000689	BGC0000689	Micromonospora purpurea DOS biosynthetic gene cluster	amglyccycl	Saccharides	Micromonospora echinospora	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000690	BGC0000690	Streptomyces glaucescens GLA.0 gene cluster for 5'-hydroxystreptomycin biosynthesis	amglyccycl	Saccharides	Streptomyces glaucescens	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000691	BGC0000691	Actinoplanes sp. SE50/110 complete acarbose (acb) gene cluster, strain SE50/110	amglyccycl	Saccharides	Actinoplanes sp. SE50/110	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,unclassified Actinoplanes
BGC0000692	BGC0000692	Streptoalloteichus hindustanus partial apramycin biosynthesis gene cluster, type strain DSM 44523T	amglyccycl	Saccharides	Streptoalloteichus hindustanus	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus
BGC0000693	BGC0000693	Bacillus circulans butirosin-biosynthetic gene cluster (orf1, btrR1, btrU, btrR2, btrT, btrS, btrN, btrM, btrL, btrA, btrB, btrC, btrD, btrE, btrF, btrG, btrH, btrI, btrJ, btrK, btrO, btrP, btrV, btrQ, btrW, btrX), complete and partial cds	amglyccycl	Saccharides	Niallia circulans	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Niallia
BGC0000694	BGC0000694	Bacillus circulans genomic region of the butirosin biosynthetic gene cluster, strain ATCC 21557	amglyccycl	Saccharides	Niallia circulans	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Niallia
BGC0000696	BGC0000696	Micromonospora echinospora genomic region of the gentamicin biosynthesis gene cluster, strain DSM 43036	amglyccycl	Saccharides	Micromonospora echinospora	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000699	BGC0000699	Streptomyces hygroscopicus subsp. hygroscopicus genomic region of the gene cluster for hygromycin B biosynthetis, strain DSM 40578	amglyccycl	Saccharides	Streptomyces hygroscopicus subsp. hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000700	BGC0000700	Streptomyces tenjimariensis istamycin biosynthesis cluster, strain ATCC 31603	amglyccycl.melanin	Others	Streptomyces tenjimariensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000701	BGC0000701	Streptomyces hygroscopicus subsp. yingchengensis jinggangmycin biosynthetic gene cluster, complete sequence	amglyccycl	Saccharides	Streptomyces hygroscopicus subsp. yingchengensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000702	BGC0000702	Streptomyces kanamyceticus kanamycin biosynthetic gene cluster, complete cds	amglyccycl	Saccharides	Streptomyces kanamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000703	BGC0000703	Streptomyces kanamyceticus strain ATCC 12853 chromosome, complete genome	amglyccycl	Saccharides	Streptomyces kanamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000704	BGC0000704	Streptomyces kanamyceticus kanamycin biosynthetic gene cluster, strain ATCC12853	amglyccycl	Saccharides	Streptomyces kanamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000705	BGC0000705	Streptomyces kanamyceticus partial kanamycin biosynthesis gene cluster, strain DSM 40500	amglyccycl	Saccharides	Streptomyces kanamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000708	BGC0000708	Streptomyces lividus lividomycin biosynthesis gene cluster	amglyccycl	Saccharides	Streptomyces lividus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000709	BGC0000709	Streptomyces fradiae neomycin biosynthesis gene cluster, strain DSM 40063	amglyccycl	Saccharides	Streptomyces fradiae ATCC 10745 = DSM 40063	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000711	BGC0000711	Streptomyces fradiae neomycin biosynthetic gene cluster, strain MCIMB 8233	amglyccycl	Saccharides	Streptomyces fradiae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000712	BGC0000712	Streptomyces rimosus subsp. paromomycinus genomic region of the paromomycin biosynthesis gene cluster, strain NRRL 2455	amglyccycl.NRPS-like	Others	Streptomyces paromomycinus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000713	BGC0000713	Streptomyces ribosidificus ribostamycin biosynthetic gene cluster	amglyccycl	Saccharides	Streptomyces ribosidificus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000714	BGC0000714	Micromonospora inyonensis strain TS388 sisomicin biosynthesis gene cluster, partial sequence	amglyccycl	Saccharides	Micromonospora inyonensis	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000715	BGC0000715	Streptomyces spectabilis spectinomycin biosynthesis gene cluster, complete sequence	amglyccycl	Saccharides	Streptomyces spectabilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000716	BGC0000716	Streptomyces flavopersicus spectinomycin biosynthesis gene cluster, complete sequence	amglyccycl	Saccharides	Streptomyces netropsis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000719	BGC0000719	Streptoalloteichus hindustanus tobramycin biosynthetic gene cluster (alloA, alloB, alloC, alloD,alloE, alloF, alloG, alloH, alloI), partial and complete cds	amglyccycl	Saccharides	Streptoalloteichus hindustanus	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus
BGC0000720	BGC0000720	Streptomyces tenebrarius tobramycin biosynthetic gene cluster, strain ATCC 17920	amglyccycl	Saccharides	Streptoalloteichus tenebrarius	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus
BGC0000721	BGC0000721	Streptoalloteichus tenebrarius tobramycin biosynthesis gene cluster region, type strain DSM 40477T	amglyccycl	Saccharides	Streptoalloteichus tenebrarius	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus
BGC0000722	BGC0000722	Streptomyces hygroscopicus subsp. jinggangensis strain 5008 validamycin cluster, genomic sequence	amglyccycl	Saccharides	Streptomyces hygroscopicus subsp. jinggangensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000723	BGC0000723	Streptomyces hygroscopicus subsp. limoneus validamycin biosynthetic gene cluster, complete sequence	amglyccycl	Saccharides	Streptomyces hygroscopicus subsp. limoneus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000724	BGC0000724	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome	amglyccycl	Saccharides	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001004	BGC0001004	Streptomyces sp. SCSIO 01127 macrolide glycosyltransferase and conserved hypothetical protein genes, complete cds; lobophorin biosynthetic gene cluster, complete sequence; and acetyltransferase and transposase genes, complete cds	oligosaccharide.T1PKS	Others	Streptomyces sp. SCSIO 01127	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001038	BGC0001038	Nonomuraea spiralis strain IMC A-0156 pyralomicin biosynthetic gene cluster, complete sequence	amglyccycl.T1PKS	Others	Nonomuraea spiralis	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea
BGC0001074	BGC0001074	Streptomyces olindensis strain DAUFPE 5622 2, whole genome shotgun sequence	oligosaccharide.T2PKS	Others	Streptomyces olindensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001183	BGC0001183	Streptomyces sp. FXJ7.023 lobophorin biosynthetic gene cluster, complete sequence	NRPS-like.oligosaccharide.NRPS.T1PKS.T3PKS	Others	Streptomyces sp. FXJ7.023	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001384	BGC0001384	Streptomyces sp. TK08046 DNA, saprolmycin biosynthetic gene cluster	oligosaccharide.T2PKS	Others	Streptomyces sp. TK08046	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001438	BGC0001438	Streptomyces sp. CS057 genomic scaffold scaffold00001, whole genome shotgun sequence	oligosaccharide.T2PKS	Others	Streptomyces sp. CS057	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001439	BGC0001439	Streptomyces sp. CS113 genomic scaffold scaffold00001, whole genome shotgun sequence	oligosaccharide.PKS-like.T2PKS	Others	Streptomyces sp. CS113	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001452	BGC0001452	Streptomyces sp. CS149 genomic DNA containing Sipanmycin biosynthesis gene cluster region	oligosaccharide.T1PKS	Others	Streptomyces sp. CS149	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001522	BGC0001522	Streptomyces filamentosus strain NRRL 15998 auroramycin biosynthetic gene cluster, complete sequence	oligosaccharide.T1PKS	Others	Streptomyces filamentosus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001558	BGC0001558	Streptomyces sp. CNT302 D329DRAFT_scaffold00013.13, whole genome shotgun sequence	oligosaccharide.T2PKS	Others	Streptomyces sp. CNT302	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001568	BGC0001568	Streptomyces sp. SCSIO 1666	oligosaccharide.T2PKS	Others	Streptomyces sp. SCSIO 1666	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001603	BGC0001603	Micromonospora echinospora strain ATCC 15835 hypothetical protein and putative tryptophanyl-tRNA synthatase genes, complete cds; gentamycin biosynthetic gene cluster, complete sequence; and hypothetical protein, putative two-component system histidine kinase, and putative two-component system response regulator genes, complete cds	amglyccycl	Saccharides	Micromonospora echinospora	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0001619	BGC0001619	Streptomyces sp. WAC2288 ibomycin biosynthesis gene cluster, partial sequence	oligosaccharide.T1PKS	Others	Streptomyces sp. WAC2288	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001769	BGC0001769	Streptomyces sp. strain KY40-1	oligosaccharide.T2PKS	Others	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001851	BGC0001851	Streptomyces erythrochromogenes strain NRRL B-2112 contig4.1, whole genome shotgun sequence	oligosaccharide.T2PKS	Others	Streptomyces erythrochromogenes	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001852	BGC0001852	Streptomyces sp. NRRL S-378 contig2.1, whole genome shotgun sequence	oligosaccharide.T2PKS	Others	Streptomyces sp. NRRL S-378	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001877	BGC0001877	Streptomyces sp. ISID311 NODE_1_length_870511_cov_42.204497, whole genome shotgun sequence	butyrolactone.PKS-like.oligosaccharide.T1PKS.NRPS-like	Others	Streptomyces sp. ISID311	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001931	BGC0001931	KR 1020180093083-A/1: CARRIMYCIN BIOSYNTHETIC GENE CLUSTER	oligosaccharide.T1PKS	Others	unidentified unclassified sequences.	
BGC0001979	BGC0001979	Streptomyces vinaceusdrappus strain NRRL15735	oligosaccharide.PKS-like.T2PKS.betalactone	Others	Streptomyces vinaceusdrappus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces rochei group
BGC0002033	BGC0002033	Streptomyces ambofaciens ATCC 23877 chromosome, complete genome	oligosaccharide.T1PKS	Others	Streptomyces ambofaciens ATCC 23877	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002085	BGC0002085	Micromonospora carbonacea strain aurantiaca chromosome, complete genome	oligosaccharide.T1PKS.PKS-like	Others	Micromonospora carbonacea	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0002088	BGC0002088	Micromonospora carbonacea strain africana chromosome, complete genome	oligosaccharide.T1PKS.PKS-like	Others	Micromonospora carbonacea	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0002129	BGC0002129	Uncultured bacterium MMY biosynthetic gene cluster, partial sequence; mmyE gene, partial cds; and mmyD, mmyMI, mmyMII, hypothetical protein, mmyX, mmyY, mmyOI, mmyTI, mmyS, mmyK, mmyP, hypothetical protein, mmyTIII, mmyC, mmyU, mmyV, mmyGII, and mmyH genes, complete cds	oligosaccharide.T2PKS	Others	uncultured bacterium	Bacteria,environmental samples
BGC0002140	BGC0002140	Streptomyces sp. MBT84 MBT84_1, whole genome shotgun sequence	oligosaccharide.T2PKS	Others	Streptomyces sp. MBT84	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002141	BGC0002141	Streptomyces bottropensis strain DO-45 trioxacarcin biosynthetic gene cluster, partial sequence	oligosaccharide.PKS-like.T2PKS.betalactone	Others	Streptomyces bottropensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002142	BGC0002142	Amycolatopsis sp. CA-230715 chromosome, complete genome	oligosaccharide.T1PKS	Others	Amycolatopsis sp. CA-230715	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis
BGC0002349	BGC0002349	Kutzneria sp. CA-103260 chromosome, complete genome	oligosaccharide.T1PKS	Others	Kutzneria sp. CA-103260	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria,unclassified Kutzneria
BGC0002361	BGC0002361	Streptomyces sp. IB201691-2A2 scaffold00031, whole genome shotgun sequence	oligosaccharide.T2PKS	Others	Streptomyces sp. IB201691-2A2	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002550	BGC0002550	Streptomyces olivaceus strain SCSIO T05 lobophorin biosynthetic gene cluster, complete sequence	oligosaccharide.T1PKS	Others	Streptomyces olivaceus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
USMM111_contigs.fa_antismash_contig00005.region001	contig00005	contig00005 len=379524 cov=41.3 corr=0 origname=NODE_5_length_379524_cov_41.329564_pilon sw=shovill-spades/1.1.0 date=20221108	oligosaccharide	Saccharides		
