sampleID,contignumber,regionnumber,category,contig_edge,core_location,cutoff,detection_rule,product,protocluster_number,kind,internal_id,sequencing_run,seq_sumission_date,data_return_date,plate_location,internal_date_received,external_id,source_lab,isolate_name,genus_predicted,species_predicted,isolation_date,lat_lon,isolate_source,comments,antibiotics_pr_partial_resistance,confirmed_media_for_growth,source,location_country,life_stage,sex,feeding_status,tissue,mosquito_species,mosquito_strain,lab_field,identity_via_wgs_kraken2,percent_28,species,percent_30,x31,qc_pass,completeness,contamination,genome_size_bp,number_contigs,mean_contig_length_bp,longest_contig_bp,gc,number_predicted_genes,n50,total_reads,avg_coverage,gtdb_domain,gtdb_parent,gtbd_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,fastani_reference,fastani_ani,fastani_af,==...
AS031,contig00001,region001,RiPP,False,[797998:800160],20000.0,"(cds(PF04055 and (TIGR04085 or SPASM)) and (TIGR02111 or TIGR03966) and minimum(1, [Bottromycin_Methyltransferase_RRE, Cyanobactin_D_RRE, Cytolysin_C_RRE, Goadsporin_CD_RRE, Heterocycloanthracin_C_RRE, Lanthipeptide_LanB_RRE, Lasso_Fused_RRE, Mycofactocin_RRE, NHLP_CD_RRE, Other_Sactipeptide_rSAM_RRE, Pantocin_Microcin_RRE, Plantazolicin_C_RRE, PlpY_RRE, PqqD_RRE, Proteusin_Epimerase_RRE, Proteusin_Methyltransferase_RRE, Quinohemoprotein_rSAM_RRE, Ranthipeptide_rSAM_RRE, Stand_Alone_Lasso_RRE, Streptide_RRE, Subtilosin_rSAM_RRE, Thiaglutamate_B_RRE, Thiaglutamate_G_RRE, Thiaglutamate_I_RRE, Thiopeptide_F_RRE, Thuricin_rSAM_RRE, Thurincin_rSAM_RRE, Trifolitoxin_RRE]))",redox-cofactor,1.0,single,AS031,UW-1,9/29/21,11/01/2021,E1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, AmpS, StrepS, TetS, ChlorS",Dane 86,water,"Dane Co, WI",,,,,,,field,Pantoea,92.82,eucrina,2.0,,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,True
AS031,contig00001,region002,other,False,[1087401:1088013](-),20000.0,Autoind_synth,hserlactone,1.0,single,AS031,UW-1,9/29/21,11/01/2021,E1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, AmpS, StrepS, TetS, ChlorS",Dane 86,water,"Dane Co, WI",,,,,,,field,Pantoea,92.82,eucrina,2.0,,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,True
AS031,contig00001,region003,RiPP,False,[1170892:1177005],20000.0,((YcaO or TIGR03882) and ((thio_amide and (PF06968 or PF04055 or PF07366)) or Lant_dehydr_C or Lant_dehydr_N or PF07366 or PF06968 or PF04055) or thiostrepton),thiopeptide,1.0,single,AS031,UW-1,9/29/21,11/01/2021,E1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, AmpS, StrepS, TetS, ChlorS",Dane 86,water,"Dane Co, WI",,,,,,,field,Pantoea,92.82,eucrina,2.0,,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,True
AS031,contig00004,region001,other,False,[53271:54060](-),30000.0,NasY,acyl_amino_acids,1.0,single,AS031,UW-1,9/29/21,11/01/2021,E1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, AmpS, StrepS, TetS, ChlorS",Dane 86,water,"Dane Co, WI",,,,,,,field,Pantoea,92.82,eucrina,2.0,,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,True
AS031,contig00004,region002,other,False,[109927:112282](-),20000.0,IucA_IucC,siderophore,1.0,single,AS031,UW-1,9/29/21,11/01/2021,E1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, AmpS, StrepS, TetS, ChlorS",Dane 86,water,"Dane Co, WI",,,,,,,field,Pantoea,92.82,eucrina,2.0,,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,True
AS031,contig00004,region003,terpene,False,[209219:212796],20000.0,(Terpene_synth or Terpene_synth_C or phytoene_synt or Lycopene_cycl or terpene_cyclase or NapT7 or fung_ggpps or fung_ggpps2 or trichodiene_synth or TRI5),terpene,1.0,single,AS031,UW-1,9/29/21,11/01/2021,E1,,,Coon,,Enterobacter,,,"Dane Co, WI",Dane 86,,"KanS, AmpS, StrepS, TetS, ChlorS",Dane 86,water,"Dane Co, WI",,,,,,,field,Pantoea,92.82,eucrina,2.0,,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,True
AS083,contig00001,region001,NRPS,False,[885477:893985](+),20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,single,AS083,UW-1,9/29/21,11/01/2021,F1,,,Coon,,Serratia,,,"Dane Co, WI",Dane 4,,"KanPR, StrepPR, AmpR, TetR, ChlorR",Dane 4,water,"Dane Co, WI",,,,,,,field,Serratia,98.83,marcescens,24.86,,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,True
AS083,contig00001,region002,RiPP,False,[952727:954890],20000.0,"(cds(PF04055 and (TIGR04085 or SPASM)) and (TIGR02111 or TIGR03966) and minimum(1, [Bottromycin_Methyltransferase_RRE, Cyanobactin_D_RRE, Cytolysin_C_RRE, Goadsporin_CD_RRE, Heterocycloanthracin_C_RRE, Lanthipeptide_LanB_RRE, Lasso_Fused_RRE, Mycofactocin_RRE, NHLP_CD_RRE, Other_Sactipeptide_rSAM_RRE, Pantocin_Microcin_RRE, Plantazolicin_C_RRE, PlpY_RRE, PqqD_RRE, Proteusin_Epimerase_RRE, Proteusin_Methyltransferase_RRE, Quinohemoprotein_rSAM_RRE, Ranthipeptide_rSAM_RRE, Stand_Alone_Lasso_RRE, Streptide_RRE, Subtilosin_rSAM_RRE, Thiaglutamate_B_RRE, Thiaglutamate_G_RRE, Thiaglutamate_I_RRE, Thiopeptide_F_RRE, Thuricin_rSAM_RRE, Thurincin_rSAM_RRE, Trifolitoxin_RRE]))",redox-cofactor,1.0,single,AS083,UW-1,9/29/21,11/01/2021,F1,,,Coon,,Serratia,,,"Dane Co, WI",Dane 4,,"KanPR, StrepPR, AmpR, TetR, ChlorR",Dane 4,water,"Dane Co, WI",,,,,,,field,Serratia,98.83,marcescens,24.86,,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,True
AS083,contig00001,region003,NRPS,False,[1061422:1069374],20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,single,AS083,UW-1,9/29/21,11/01/2021,F1,,,Coon,,Serratia,,,"Dane Co, WI",Dane 4,,"KanPR, StrepPR, AmpR, TetR, ChlorR",Dane 4,water,"Dane Co, WI",,,,,,,field,Serratia,98.83,marcescens,24.86,,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,True
AS083,contig00001,region004,RiPP,False,[1659911:1666356],20000.0,((YcaO or TIGR03882) and ((thio_amide and (PF06968 or PF04055 or PF07366)) or Lant_dehydr_C or Lant_dehydr_N or PF07366 or PF06968 or PF04055) or thiostrepton),thiopeptide,1.0,single,AS083,UW-1,9/29/21,11/01/2021,F1,,,Coon,,Serratia,,,"Dane Co, WI",Dane 4,,"KanPR, StrepPR, AmpR, TetR, ChlorR",Dane 4,water,"Dane Co, WI",,,,,,,field,Serratia,98.83,marcescens,24.86,,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,True
AS083,contig00001,region005,PKS,False,[2262338:2277359],20000.0,(PPDK_N and AMP-binding and PP-binding and PKS_KS),prodigiosin,1.0,single,AS083,UW-1,9/29/21,11/01/2021,F1,,,Coon,,Serratia,,,"Dane Co, WI",Dane 4,,"KanPR, StrepPR, AmpR, TetR, ChlorR",Dane 4,water,"Dane Co, WI",,,,,,,field,Serratia,98.83,marcescens,24.86,,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,True
AS083,contig00002,region001,NRPS,False,[589198:593134](+),20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,single,AS083,UW-1,9/29/21,11/01/2021,F1,,,Coon,,Serratia,,,"Dane Co, WI",Dane 4,,"KanPR, StrepPR, AmpR, TetR, ChlorR",Dane 4,water,"Dane Co, WI",,,,,,,field,Serratia,98.83,marcescens,24.86,,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,True
AS083,contig00003,region001,other,False,[130883:136554],10000.0,(HMGL-like and AMP-binding),betalactone,1.0,single,AS083,UW-1,9/29/21,11/01/2021,F1,,,Coon,,Serratia,,,"Dane Co, WI",Dane 4,,"KanPR, StrepPR, AmpR, TetR, ChlorR",Dane 4,water,"Dane Co, WI",,,,,,,field,Serratia,98.83,marcescens,24.86,,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,True
AS083,contig00003,region002,other,False,[362970:363615](+),20000.0,Autoind_synth,hserlactone,1.0,neighbouring,AS083,UW-1,9/29/21,11/01/2021,F1,,,Coon,,Serratia,,,"Dane Co, WI",Dane 4,,"KanPR, StrepPR, AmpR, TetR, ChlorR",Dane 4,water,"Dane Co, WI",,,,,,,field,Serratia,98.83,marcescens,24.86,,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,True
AS083,contig00008,region001,NRPS,True,[19668:39489],20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,single,AS083,UW-1,9/29/21,11/01/2021,F1,,,Coon,,Serratia,,,"Dane Co, WI",Dane 4,,"KanPR, StrepPR, AmpR, TetR, ChlorR",Dane 4,water,"Dane Co, WI",,,,,,,field,Serratia,98.83,marcescens,24.86,,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,True
AS085,contig00001,region001,RiPP,False,[266776:268943],20000.0,"(cds(PF04055 and (TIGR04085 or SPASM)) and (TIGR02111 or TIGR03966) and minimum(1, [Bottromycin_Methyltransferase_RRE, Cyanobactin_D_RRE, Cytolysin_C_RRE, Goadsporin_CD_RRE, Heterocycloanthracin_C_RRE, Lanthipeptide_LanB_RRE, Lasso_Fused_RRE, Mycofactocin_RRE, NHLP_CD_RRE, Other_Sactipeptide_rSAM_RRE, Pantocin_Microcin_RRE, Plantazolicin_C_RRE, PlpY_RRE, PqqD_RRE, Proteusin_Epimerase_RRE, Proteusin_Methyltransferase_RRE, Quinohemoprotein_rSAM_RRE, Ranthipeptide_rSAM_RRE, Stand_Alone_Lasso_RRE, Streptide_RRE, Subtilosin_rSAM_RRE, Thiaglutamate_B_RRE, Thiaglutamate_G_RRE, Thiaglutamate_I_RRE, Thiopeptide_F_RRE, Thuricin_rSAM_RRE, Thurincin_rSAM_RRE, Trifolitoxin_RRE]))",redox-cofactor,1.0,single,AS085,UW-1,9/29/21,11/01/2021,G1,,,Coon,,Pantoea,,,"Cook Co, IL",AC32,,"KanS, AmpS, StrepS, TetS, ChlorPR",AC32,water,"Cook Co, IL",,,,,,,field,Pantoea,96.56,agglomerans,94.43,,Pass,100.0,0.58,4866969.0,89.0,54685.0,1268095.0,55.2,4504.0,424945.0,4767682.0,145.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea agglomerans,GCF_001598475.1,98.53,0.95,True
AS085,contig00001,region002,other,False,[722252:725839],20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,neighbouring,AS085,UW-1,9/29/21,11/01/2021,G1,,,Coon,,Pantoea,,,"Cook Co, IL",AC32,,"KanS, AmpS, StrepS, TetS, ChlorPR",AC32,water,"Cook Co, IL",,,,,,,field,Pantoea,96.56,agglomerans,94.43,,Pass,100.0,0.58,4866969.0,89.0,54685.0,1268095.0,55.2,4504.0,424945.0,4767682.0,145.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea agglomerans,GCF_001598475.1,98.53,0.95,True
